"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745144775314937E9,"2025-04-20 18:26:15.315 UTC+08:00"
"PAUSE",2.074142501666502E2,1.745144982729309E9,"2025-04-20 18:29:42.729 UTC+08:00"
