"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745147505213188E9,"2025-04-20 19:11:45.213 UTC+08:00"
"PAUSE",2.843007765833754E2,1.745147789518819E9,"2025-04-20 19:16:29.519 UTC+08:00"
