"Time (s)","X (hPa)"
-5.492929583E-1,1.004442520E3
4.567950417E-1,1.004443283E3
1.462904042E0,1.004444046E3
2.468963042E0,1.004446335E3
3.475031042E0,1.004447708E3
3.825660042E0,1.004449158E3
4.898774042E0,1.004450226E3
5.971907042E0,1.004450531E3
7.045060042E0,1.004451370E3
8.118225042E0,1.004451370E3
9.191407042E0,1.004451370E3
1.026452404E1,1.004450836E3
1.133770704E1,1.004449463E3
1.241087704E1,1.004448624E3
1.348401504E1,1.004447403E3
1.455712904E1,1.004447021E3
1.563025704E1,1.004447021E3
1.670338204E1,1.004448013E3
1.777654604E1,1.004448929E3
1.884974804E1,1.004450607E3
1.992291004E1,1.004451828E3
2.099599504E1,1.004452744E3
2.206905304E1,1.004453964E3
2.314212004E1,1.004455185E3
2.421520904E1,1.004455643E3
2.528831204E1,1.004456100E3
2.636142204E1,1.004456863E3
2.743454404E1,1.004456863E3
2.850764204E1,1.004455795E3
2.958076904E1,1.004454803E3
3.065387704E1,1.004453278E3
3.172696504E1,1.004452438E3
3.280007004E1,1.004452438E3
3.387316404E1,1.004452515E3
3.494622604E1,1.004453583E3
3.601932604E1,1.004455795E3
3.709243804E1,1.004457474E3
3.816551004E1,1.004459839E3
3.923857404E1,1.004461899E3
4.031166304E1,1.004462967E3
4.138476104E1,1.004462967E3
4.245789004E1,1.004463196E3
4.353095604E1,1.004463196E3
4.460401104E1,1.004463196E3
4.567709804E1,1.004463577E3
4.675022404E1,1.004463654E3
4.782335904E1,1.004464035E3
4.889645804E1,1.004464569E3
4.996956804E1,1.004464874E3
5.104267704E1,1.004465561E3
5.211578304E1,1.004465790E3
5.318885104E1,1.004466553E3
5.426196304E1,1.004466629E3
5.533507004E1,1.004466782E3
5.640818604E1,1.004466629E3
5.748133204E1,1.004464722E3
5.855451804E1,1.004463196E3
5.962764304E1,1.004462128E3
6.070076304E1,1.004461212E3
6.177393104E1,1.004460907E3
6.284710804E1,1.004460907E3
6.392028604E1,1.004461517E3
6.499343804E1,1.004461975E3
6.606659704E1,1.004463654E3
6.713968604E1,1.004464264E3
6.821277704E1,1.004464722E3
6.928585404E1,1.004466324E3
7.035890104E1,1.004467239E3
7.143197104E1,1.004468002E3
7.250508204E1,1.004469299E3
7.357816304E1,1.004469986E3
7.465125504E1,1.004470596E3
7.572439204E1,1.004471207E3
7.679760404E1,1.004471436E3
7.787076804E1,1.004471436E3
7.894393904E1,1.004471817E3
8.001708104E1,1.004471893E3
8.109020804E1,1.004472656E3
8.216331604E1,1.004472885E3
8.323644304E1,1.004472885E3
8.430958104E1,1.004472885E3
8.538272104E1,1.004473114E3
8.645589504E1,1.004473114E3
8.752905904E1,1.004473114E3
8.860220704E1,1.004473572E3
8.967534704E1,1.004474182E3
9.074849504E1,1.004474792E3
9.182162404E1,1.004475479E3
9.289479404E1,1.004476624E3
9.396798704E1,1.004477463E3
9.504117504E1,1.004477921E3
9.611435204E1,1.004478607E3
9.718749904E1,1.004478607E3
9.826066304E1,1.004477997E3
9.933381104E1,1.004476471E3
1.004069760E2,1.004476318E3
1.014801430E2,1.004476013E3
1.025533180E2,1.004474945E3
1.036264790E2,1.004474335E3
1.046996440E2,1.004473724E3
1.057728080E2,1.004471893E3
1.068459230E2,1.004469910E3
