"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767963493383890E9,"2026-01-09 20:58:13.384 UTC+08:00"
"PAUSE",2.071683333333349E2,1.767963700557211E9,"2026-01-09 21:01:40.557 UTC+08:00"
